Unnamed: 0,Date,Price,MarketCap,realized_cap,ZScore
3193,2019-05-15,8215.2068383986,145432131127.43274,80062570841.04164,1.285644011352755
3194,2019-05-16,7862.07160233782,139194998347.82983,80559064229.41275,1.1525295333486316
3195,2019-05-17,7326.92068188194,129734183662.07736,80552157907.24963,0.9662536603219416
3196,2019-05-18,7277.98756341321,128881668132.99368,80585538185.92378,0.9484154145645088
3197,2019-05-19,8219.74278696669,145575413878.90924,80793772285.56311,1.2712908496539923
3198,2019-05-20,7981.13937895967,141365700155.7119,80916723137.2013,1.185536105453467
3199,2019-05-21,7983.80847738165,141428245517.94043,81054966343.3847,1.183324308934499
3200,2019-05-22,7667.90211484512,135848165793.33598,81091186156.31279,1.0726659226259203
3201,2019-05-23,7897.4712936879,139930919008.92722,81220624130.7666,1.1494300542241525
3202,2019-05-24,7987.10036762127,141534282248.92953,81398189340.96007,1.1766250432609178
3203,2019-05-25,8061.59176072472,142868404228.81842,81507201532.65414,1.1998422671779387
3204,2019-05-26,8731.52495587376,154759041801.35135,81712435219.24667,1.427198437942663
3205,2019-05-27,8816.78670835769,156288640728.2243,81957455003.66959,1.451110157234712
3206,2019-05-28,8719.12584833431,154575353281.71463,82180990895.88751,1.4121842067453156
3207,2019-05-29,8655.48850613676,153465996531.7553,83380253007.03954,1.3660976437569077
3208,2019-05-30,8271.62196317942,146676400352.31113,83440539554.37537,1.23175490833512
3209,2019-05-31,8556.222185564,151735582587.58755,83624035384.04814,1.3257447641480635
3210,2019-06-01,8554.80732963179,151726638807.65903,83722208352.31487,1.3226826743038824
3211,2019-06-02,8744.35374547049,155102721367.2785,83825851118.20598,1.385242332455902
3212,2019-06-03,8173.40127054354,144987626309.59637,83958712811.78941,1.1853184683675662
3213,2019-06-04,7649.93933196961,135716682814.57658,83571270540.66391,1.0122580729469062
3214,2019-06-05,7798.54446639392,138368666287.51602,83556432707.18307,1.0634432474899118
3215,2019-06-06,7776.71332612507,137996580707.9744,83576996489.75961,1.055252473356956
3216,2019-06-07,8023.950093045,142399606375.05902,83684883310.02057,1.1378584383458443
3217,2019-06-08,7939.80515488019,140918607913.59793,83715930764.97897,1.1079158262962865
3218,2019-06-09,7634.06575073057,135506259121.49867,83739477253.52617,1.0021237107906
3219,2019-06-10,7993.30253857393,141898473878.9763,83919693297.72594,1.1217190717555647
3220,2019-06-11,7922.48362711864,140655445889.08667,83978262758.19203,1.0959123947156704
3221,2019-06-12,8146.75612507306,144650510833.70166,84103964145.24902,1.1700038212924329
3222,2019-06-13,8232.77734137931,146193408168.96448,84200951057.71025,1.1971780798562763
3223,2019-06-14,8698.00481502046,154473051911.988,84467663556.62726,1.350901659699002
3224,2019-06-15,8850.58481601403,157198963411.4645,84582323994.24127,1.4001817469135969
3225,2019-06-16,9019.51700672121,160214095893.80023,84763348216.43642,1.453614670605649
3226,2019-06-17,9340.57218877849,165932542576.92453,85056136537.91957,1.5567109631177776
3227,2019-06-18,9047.13274447691,160738109906.27518,85170918633.02353,1.4533015977597634
3228,2019-06-19,9285.05567656341,164985769404.61563,85433148689.32294,1.5285730697763136
3229,2019-06-20,9546.71977819988,169652452074.90225,85658356029.54312,1.612348885167534
3230,2019-06-21,10083.4863136762,179207964367.86978,85978535648.50073,1.7876178203404998
3231,2019-06-22,10685.2952327878,189922398699.78864,86455151519.45615,1.9813250343615425
3232,2019-06-23,10794.4276963764,191886561530.99048,86699590073.2586,2.0115582296501477
3233,2019-06-24,11004.2069094681,195640037201.65903,87076613192.8825,2.0732139701628434
3234,2019-06-25,11726.2638308007,208498641087.55655,87615309088.36838,2.304682776953184
3235,2019-06-26,12863.4606849795,228745081928.3398,88954417353.9488,2.6596487749819
3236,2019-06-27,11109.7978418469,197580211564.14645,89197044484.38693,2.059164333848461
3237,2019-06-28,12358.2079582116,219807517718.0825,90040433231.62785,2.4608623062437847
