Unnamed: 0,Date,Price,VOCD,MVOCD,HODL Bank,Reserve Risk
3563,2020-05-19,9754.20146201052,2328.3126675407348,2792.2100501176615,4459103.204928716,0.0021874805344781
3564,2020-05-20,9515.702550263,3285.180739507378,2851.062457870845,4465767.845021108,0.0021308099481418
3565,2020-05-21,9068.80122933957,4165.439073823907,2890.697150007129,4471945.94910044,0.0020279317622709
3566,2020-05-22,9161.81503389831,2615.1583553603664,2890.697150007129,4478217.066984331,0.0020458622029387
3567,2020-05-23,9183.66212507305,1885.868252226819,2851.062457870845,4484549.666651533,0.002047844891398
3568,2020-05-24,8806.23065715956,1403.2344419760327,2851.062457870845,4490504.834850822,0.0019610780927824
3569,2020-05-25,8909.19258153127,1906.88053893034,2851.062457870845,4496562.964974482,0.0019813338878891
3570,2020-05-26,8835.13725336061,2367.9999102745487,2851.062457870845,4502547.039769972,0.0019622531814374
3571,2020-05-27,9169.05743921683,2567.152472942394,2792.2100501176615,4508923.887159071,0.0020335356436885
3572,2020-05-28,9568.26185300994,4071.08728025345,2851.062457870845,4515641.08655421,0.0021189154916453
3573,2020-05-29,9432.41333343074,3828.944466491023,2851.062457870845,4522222.43742977,0.0020857915469526
3574,2020-05-30,9691.68049117475,2112.4957970356877,2792.2100501176615,4529121.907870827,0.0021398586057779
3575,2020-05-31,9433.94384663939,4147.367642777004,2826.3873376518004,4535729.464379814,0.0020799176672079
3576,2020-06-01,10199.1350542373,12527.410693721342,2890.697150007129,4543037.902284045,0.0022450032937452
3577,2020-06-02,9512.34653302163,5302.630065704062,3090.667647058326,4549459.5811700085,0.0020908739517969
3578,2020-06-03,9642.27340035067,3077.1898529274044,3181.185296217391,4555920.669274142,0.0021164269749865
3579,2020-06-04,9813.36067913501,3436.8464958208224,3361.0136176641,4562373.016335613,0.0021509334383659
3580,2020-06-05,9641.8916225599,2881.9012992484263,3181.185296217391,4568833.722661955,0.0021103616826182
3581,2020-06-06,9668.67053857393,3456.7567417667215,3181.185296217391,4575321.207904312,0.0021132222415052
3582,2020-06-07,9747.58011104617,2754.3793779290886,2986.6722037683394,4582082.11581159,0.0021273254962868
3583,2020-06-08,9769.34236148451,8015.790163776353,2986.6722037683394,4588864.785969307,0.0021289235610852
3584,2020-06-09,9779.42216566335,3391.932651798559,3181.185296217391,4595463.022838753,0.0021280602448678
3585,2020-06-10,9888.44417469316,4025.0687124269034,3181.185296217391,4602170.281717229,0.0021486480441578
3586,2020-06-11,9277.45116931619,2776.1848984566636,3181.185296217391,4608266.547590327,0.0020132193035073
3587,2020-06-12,9456.16153331385,1930.80412252264,3181.185296217391,4614541.523827424,0.0020492093276193
3588,2020-06-13,9461.33379865576,1375.46382654464,2979.5455760879154,4621023.312049992,0.0020474542454663
3589,2020-06-14,9342.955635301,1983.0559393011863,2829.043098852545,4627537.224586441,0.0020189909193298
3590,2020-06-15,9441.38321127995,3243.879691692083,2979.5455760879154,4633999.062221633,0.0020374158657584
3591,2020-06-16,9520.09194827586,2990.9628856384725,3034.0763692829387,4640485.077800626,0.0020515294820833
3592,2020-06-17,9448.69356060783,2224.9360400693936,2936.4320924434496,4646997.339268791,0.0020332900733045
3593,2020-06-18,9389.99076639392,7011.177753512634,3034.0763692829387,4653353.253665902,0.002017897686791
3594,2020-06-19,9285.99158293396,2496.20529797191,2936.4320924434496,4659702.813156392,0.0019928291471111
3595,2020-06-20,9357.29246446522,2121.3680381244794,2829.043098852545,4666231.062522005,0.0020053212837273
3596,2020-06-21,9284.76937182934,2423.624893230928,2829.043098852545,4672686.788794982,0.0019870301159696
3597,2020-06-22,9684.62018474576,4012.368564659166,2936.4320924434496,4679434.976887285,0.0020696131547035
3598,2020-06-23,9611.72599824664,5050.067876193674,3034.0763692829387,4686012.626516248,0.0020511523899568
3599,2020-06-24,9292.94354354179,9318.416917131824,3160.534772309744,4692145.03528748,0.001980532032504
3600,2020-06-25,9247.12143249561,2075.031270142559,3160.534772309744,4698231.621947666,0.0019682131867015
3601,2020-06-26,9159.43777206312,7633.066301517886,3317.906171745321,4704073.153547984,0.0019471291098342
3602,2020-06-27,9002.16561718293,2824.3642023036205,3160.534772309744,4709914.784392857,0.0019113223973846
3603,2020-06-28,9108.06567457627,3910.834940770483,3160.534772309744,4715862.3152951235,0.0019313680225641
3604,2020-06-29,9184.24736627703,3289.1835042587427,3266.5315979754128,4721780.031063425,0.0019450815806446
3605,2020-06-30,9143.96758530099,5953.869999185419,3266.5315979754128,4727657.467050751,0.0019341434207172
3606,2020-07-01,9241.33961239041,2995.070269269244,3160.534772309744,4733738.271890831,0.0019522286788152
3607,2020-07-02,9094.38728679135,2128.220685331727,3036.1300610983244,4739796.529116524,0.0019187294709645
3608,2020-07-03,9066.69069661017,2476.5756956247105,2993.016577453858,4745870.20323568,0.0019104379825703
3609,2020-07-04,9126.21955493863,1298.2993761387756,2936.4320924434496,4752059.9906981755,0.0019204765034116
3610,2020-07-05,9079.61401808884,957.2321301643652,2907.6635439710462,4758231.941172293,0.001908190716708
