Unnamed: 0,Date,Price,sth_mvrv
4506,2022-12-18,16776.1159254822,0.9079112822146224
4507,2022-12-19,16424.1313857393,0.8949727139597756
4508,2022-12-20,16901.8169362946,0.9211134823466705
4509,2022-12-21,16800.5329707773,0.9200586071776272
4510,2022-12-22,16814.2225791935,0.9219438433923586
4511,2022-12-23,16780.5169798363,0.9230651310964132
4512,2022-12-24,16837.612170076,0.9298642365498512
4513,2022-12-25,16824.8389736996,0.929671793771509
4514,2022-12-26,16879.9382273524,0.9332690464865988
4515,2022-12-27,16698.9112708942,0.9244561343515528
4516,2022-12-28,16536.2942001753,0.9174675451539764
4517,2022-12-29,16630.5931551724,0.923968453010392
4518,2022-12-30,16593.6888287551,0.9235285952461396
4519,2022-12-31,16524.2178024547,0.9214082633586564
4520,2023-01-01,16606.7520432496,0.9266122747156016
4521,2023-01-02,16688.7192729398,0.931739856376038
4522,2023-01-03,16670.0773836937,0.9315907359979604
4523,2023-01-04,16848.3660391584,0.9423801876396626
4524,2023-01-05,16824.8001826417,0.9421736808406768
4525,2023-01-06,16957.8622738165,0.9505808078195626
4526,2023-01-07,16942.6285891292,0.950401571646707
4527,2023-01-08,17059.2399444769,0.9570198099337768
4528,2023-01-09,17182.3198521333,0.963935986036475
4529,2023-01-10,17433.9146320865,0.97793415825173
4530,2023-01-11,17833.7107656341,1.0007051959815318
4531,2023-01-12,18869.7044842198,1.0559021883096076
4532,2023-01-13,19868.7247454705,1.1052579333980066
4533,2023-01-14,21010.9227200468,1.1638166226207232
4534,2023-01-15,20876.0085561075,1.154025499178602
4535,2023-01-16,21180.4119485681,1.1674139752156667
4536,2023-01-17,21178.2993962595,1.1627193625570211
4537,2023-01-18,20709.6686040327,1.1357870207848089
4538,2023-01-19,21071.8334152542,1.1523856287737857
4539,2023-01-20,22660.7169421391,1.2307850277409125
4540,2023-01-21,22803.172761543,1.2347745439472138
4541,2023-01-22,22716.2771966686,1.227652901373855
4542,2023-01-23,22929.0248936295,1.2356011035368597
4543,2023-01-24,22611.1268787259,1.2164339387086458
4544,2023-01-25,23109.0845189947,1.239000851274619
4545,2023-01-26,23008.6894766219,1.2241623952815188
4546,2023-01-27,23070.4964582116,1.2227133613001178
4547,2023-01-28,23008.8094649328,1.2183207550089223
4548,2023-01-29,23774.9963679135,1.2559508731545437
4549,2023-01-30,22799.427261543,1.203439189054026
4550,2023-01-31,23130.0519132087,1.217427665532204
4551,2023-02-01,23727.2026075395,1.2398335516409849
4552,2023-02-02,23505.6048430742,1.2256296883626725
4553,2023-02-03,23445.8131773816,1.2186117698080758
4554,2023-02-04,23355.5243863238,1.211394882774262
4555,2023-02-05,22957.2251905319,1.1901392327591345
4556,2023-02-06,22745.1650371128,1.1784414304247803
4557,2023-02-07,23266.2692036821,1.202787482518106
4558,2023-02-08,22937.5799453536,1.1848465007012017
4559,2023-02-09,21818.1989456458,1.1279049601008309
4560,2023-02-10,21620.5667837522,1.118367644125191
4561,2023-02-11,21864.8626414378,1.1311026041924308
4562,2023-02-12,21772.1373252484,1.1260516796429207
4563,2023-02-13,21798.7157168323,1.1274899268990182
4564,2023-02-14,22222.415043834,1.1487989734889592
4565,2023-02-15,24304.6129827586,1.2490115143843104
4566,2023-02-16,23742.4488354763,1.218294146705105
4567,2023-02-17,24607.3356054939,1.2575675284578327
4568,2023-02-18,24636.5266127995,1.257263179687773
4569,2023-02-19,24366.9907606663,1.242430685911727
4570,2023-02-20,24797.8430359439,1.2619600562490547
4571,2023-02-21,24400.3893898305,1.2399485900173437
4572,2023-02-22,24163.7389812975,1.225490001582001
4573,2023-02-23,23910.0342104033,1.211075737646529
4574,2023-02-24,23175.8242036821,1.1734181161578536
4575,2023-02-25,23159.8154403857,1.1722489143158288
4576,2023-02-26,23542.0964281122,1.1905065124367644
4577,2023-02-27,23504.1894178843,1.186979789668721
4578,2023-02-28,23145.9491277031,1.1676587893584554
4579,2023-03-01,23610.6590902981,1.1874818025405594
4580,2023-03-02,23470.0254815897,1.1796766155902207
4581,2023-03-03,22350.0962340736,1.1250977655879295
4582,2023-03-04,22334.2852638808,1.1244325176654095
4583,2023-03-05,22419.8171390999,1.127852486580294
4584,2023-03-06,22414.7033056692,1.1273786785207385
4585,2023-03-07,22174.6484725307,1.1140355905908026
4586,2023-03-08,21701.3846227352,1.0919334224370276
4587,2023-03-09,20349.8141732905,1.0278638398968871
4588,2023-03-10,20240.406694623,1.025066177810338
4589,2023-03-11,20585.2343290473,1.042596796861267
4590,2023-03-12,22065.9800359439,1.1152870256150471
4591,2023-03-13,24154.4290946815,1.210736932631023
4592,2023-03-14,24769.0175691409,1.2336304129918243
4593,2023-03-15,24409.8017518995,1.2115152420819617
4594,2023-03-16,25043.2388468732,1.2380281425242163
